#{"t_start": 1754642096.1582983, "env_id": "None"}
r,l,t,total_reward,shape,ttc,step_cost,jerk,crash,goal,off_road_hard_event,off_road_soft_penalty
-5.490696,25,5.230476,-51.89619569924698,-1.796195699246982,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.5031304,18,5.252972,-52.08586019960409,-2.0858601996040917,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.806521,53,5.314656,-54.79170559155247,-4.691705591552472,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.7126956,42,5.364469,-53.813145994513306,-3.813145994513306,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.478985,10,5.379254,-51.74251014173873,-1.6425101417387262,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.74441,28,5.411913,-54.268146879015276,-4.268146879015276,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.766778,42,5.461475,-54.39842994491083,-4.09842994491083,0.0,0.0,0.0,0.0,0.0,1,-50.3
-5.762748,35,5.502278,-54.32411912135329,-4.3241191213532915,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.7805023,47,5.555112,-54.375321372176764,-4.275321372176759,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.520883,41,5.601781,-51.85572716876685,-1.65572716876685,0.0,0.0,0.0,0.0,0.0,1,-0.2
-5.569698,54,5.662931,-52.143141361491566,-2.0431413614915632,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.87774,27,5.694606,-55.05356156222865,-5.053561562228648,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.560055,10,5.708393,-52.207146456004914,-2.2071464560049163,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.467334,44,5.757897,-51.2406341591275,-1.1406341591275009,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.670184,22,5.78464,-53.19100747619609,-3.1910074761960896,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.818267,14,5.802641,-54.69077751081729,-4.6907775108172896,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.6687126,39,5.847283,-53.2386915528478,-3.2386915528477926,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.9269705,44,5.897427,-55.58594263851835,-5.5859426385183415,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.5026064,5,5.905678,-51.756126749455454,-1.7561267494554587,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.477072,19,5.930535,-51.57118928402161,-1.5711892840216066,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.5588903,8,5.941889,-52.469728159414544,-2.369728159414545,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.495311,14,5.960229,-51.95881169929406,-1.9588116992940616,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.441614,23,5.987915,-51.47834303270796,-1.4783430327079605,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.444413,17,6.009013,-51.5699635226318,-1.5699635226317978,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.735426,11,6.024045,-54.45031842527628,-4.450318425276285,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.4468794,31,6.307711,-51.69785259709808,-1.697852597098076,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.711506,17,6.329675,-54.28671325818877,-4.286713258188769,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.759928,47,6.385914,-54.65027483652687,-4.550274836526871,0.0,0.0,0.0,0.0,0.0,1,-0.1
